Discription,SOFT SKILL,HARD SKILL,TOOLS,KNOWLEDGE
"We are a 10 year old multi-million dollar home improvement company that is looking  for a Window Sales Manager for our corporate office. Our company is Experiencing   tremendous growth and is in need of a Sales Manager to help us meet our lead demand!   We spend hundreds of thousands of dollars to get our sales reps into appointments.   We need a closer to help run and grow our team!!   Qualification Include-  - Able to run and manage a staff of 7-10 sales reps  - Keep a 40-42% closing avg.  - Willing to teach new closing techniques  - Able to present high end products.  - Solid Track record  - Needs to be a great trainer and motivator.  - Doesn't need window experience. In home sales a plus  We offer:  - Health Benefits Insurance  - Extensive Product Training  - 100-150K per year  -Paid Vacation  Send your resume to Mr. Taylor today to set up a personal Interview   • Location: St Cloud, Minneapolis Area  • Principals only. Recruiters please don't contact this job poster.",['sales'],,,
Sr. Manager Documentation - Herndon VA  Responsible for release info for HQ - Technical Writing background is a must   PM Experience with 3G-4G-WiMaxx and LTE is a must  This is for the Product Department   Manage a team of five people  10 years of experience Telecom Product Department (Wireless) Management   Please only apply is you have the experience above.,"['responsible', 'writing', 'management']",['technical writing'],,
"JOB DESCRIPTION:  Local Business looking for a full-time SAFETY COORDINATOR.    Specific duties include but not limited to:  * Recommend & implement safety policies  * Responsible for Hazardous Communication response  * Responsible for training; Hazardous Communication and Hazardous Waste Management, Safety Orientation, Forklift, Scissor lift, JLG, Lock-out/Tag-out, Confined Space & misc. safety training  * Coordinate First Aid & CPR training   * Coordinate Safety Committee activities  * Arrange hazardous waste disposal   * Complete weekly facility checklist  * Other duties as assigned by management      JOB REQUIREMENTS:  SKILLS & EDUCATIONAL REQUIREMENTS   * 5 year minimum in the trades.  * GED/HS EQUIVALENCY  * Must have a current (Washington) driver license, to operate a company vehicle in the performance of job duties   * Industrial safety training & off-site.  * Must be able to speak (read, write) English to understand work and safety instructions, and/or training for the job.   * Hazardous Communication and Hazardous Waste Management training required.   * Proficient in Microsoft Office (Word, Excel, Outlook & Access).   * Ability to meet time constraints.   * Good communication skills.   * Employer will screen for work history that demonstrates ability to be punctual, dependable, and with a record of good attendance.    We are a Drug-Free company and a Foreign Trade Zone. All applicants must pass a U.S. Customs security background investigation (i.e. NCIC & local/state warrant check) prior to employment.    WORKING CONDITIONS   Extreme temperatures (hot, cold, humid, wet), working in confined spaces, tripping hazards (curbing, uneven surfaces), slippery floors, steam pipes accessible, climbing (ladders, stairs, etc.) ability to lift 65 lbs. or more.    HOURS / DAYS / SCHEDULE:  Position is hourly, full benefits, M-F 08:00-16:30 with potential overtime.","['responsible', 'management', 'coordinate', 'committee', 'punctual', 'investigation', 'schedule', 'first aid', 'time constraints', 'communication skills']","['waste management', 'safety training', 'management training', 'microsoft office']",['ladders'],
"Shouldn't you have a job so fulfilling  you'll want to stay there until you retire?  Kynoch Environmental Management, Inc. (KEM) is a full-service environmental engineering firm providing value-engineered solutions to the myriad of environmental problems.  KEM’s work is concentrated in the areas of environmental management systems (ISO 14000), asbestos, lead-based paint and indoor air quality.  The technical coordinator works with Project Engineers to assemble field notes, test results and photographs into a draft report to go to KEM’s clients. The Technical Coordinator is responsible for assuring KEM’s clients receive reports, communication, etc.  *What We are Looking For:*  • Entry level position – Environmental Science, Engineer or Science/Math Major • Someone with the ability to work under deadlines and keep multiple projects and data organized • Someone with working knowledge of Microsoft Word, Excel, and Access • Team player – Can work well with others  *What’s In it For you:*  • Fully paid health insurance • 8 paid holidays each year • 2 weeks vacation per year, after that increasing one day each year • Paid Parking • A fun, fast-paced environment with a growing vibrant company • Upward mobility assured  To apply by letter or email, please forward cover letter, resume, and salary requirements to: Kynoch Environmental Management, Inc. 6935 Wisconsin Avenue, Suite 306 Chevy Chase, MD 20815 Fax:  XXX   This is a position that you will want to stay in for the growth of the company, as well as your life. If you are looking for a short-term build-it-and-move-on position please do not apply.  Equal Opportunity Employer","['management', 'responsible', 'science', 'microsoft word', 'team player']","['photographs', 'mobility', 'environmental engineering', 'management systems', 'air quality', 'environmental science', 'environmental management systems']",,
"The Front Office clerk is responsible to check guest in and out of the hotel.  Other duties include providing exceptional customer service and PBX operation.  Preferred candidate to have one-year Front Desk experience.  Must have excellent telephone and computer skills.  Must be able to work all shifts.  Great compensation package with discounted parking, complimentary lunch and travel discounts.  Team members that work an average of 30+ within their introductory period will be eligible for co-premium health benefits, dental and vision.  Life insurance and short term disability also offered.  401K plan eligibility after 1 year of service.","['responsible', 'customer service', 'computer skills']","['telephone', 'front office', 'front desk']",,
"*REPORTS TO: General Manager*  A well-established, multi-office, non-medical Home Care services company seeks an Private Duty Home Health Administrator Multi-office Manager. This is a fantastic opportunity for someone with strong leadership abilities to establish themselves with a local industry leader. Successful candidate will be responsible for all administrative aspects of the business. Competitive salary plus bonus plan. Prefer a strong background in the senior care market.   *All candidates must meet the minimum qualifications to be considered for the job.*  *JOB SUMMARY:* The Office Manager, will be responsible for supervision of scheduling staff, customer service, document management and direct and manage day-to-day operations in compliance with all state and federal laws and regulations across multiple offices.   *JOB RESPONSIBILITIES:* * Direct staff in performance of their duties including client admission, discharge and provision of services. * Ensure Company has 24 hour coverage with on-call and administrative staff. * Appoint a designee to supervise office staff during all operating hours in his/her absence. * Participate in the rotation of administrative on-call rotation during the week and on weekends. * Conduct performance reviews of all directly supervised office staff. * Implement standards and methods to ensure continuous compliance with state and Federal rules and regulations. * Ensure compliance of required documentation for caregiver and client files. * Maintain confidentiality of client information and all Registry operations. * Cooperate with all Federal, state and local regulatory and administrative agencies. * Review all client and contractor documents for compliance and archiving. * Monitor Scheduling and Document Management policies and ensure procedures are followed. * Direct home care operations to ensure the provision of adequate and appropriate care and services to clients. * Ensure proper contractor orientation. * Supervise scheduling coordinator staff to ensure resources are allocated properly. * Manage operation process flow. * Learn, maintain and train others on the web based scheduling system. * Learn, maintain and train others on the document management system to allow the office to be “paperless”. * Demonstrate professional conduct and ethics according to company policies and procedures. * Perform other job duties and responsibilities as assigned by the General Manager.  *Minimum Qualifications* The Administrator must be a licensed physician, physician assistant or a registered nurse licensed to practice in this state or an individual having at least one (1) year of supervisory or administrative experience in home health care or related health programs. Level II background check required.  *Experience* * 5 years Supervisory Experience, with at least 2 of which in a Home Health organization. * Private Duty home care experience strongly preferred.  *Education* * Bachelor’s degree preferred.  *Skills* * Experience managing Multiple Offices. * Must have knowledge of state and Federal rules and regulation for the home health industry. * Excellent verbal and written communication skills. * Able to work autonomously with minimum supervision. * Demonstrated problem-solving and decision-making skills. * Demonstrated computer proficiency including, Microsoft Office and Scheduling systems. * Able to work as a team member. * Must be able to work under stress and in a fast-paced environment. * Must be able to travel to local offices and clients. * Customer Relations – demonstrated ability to solve problems. * Software/Computer skills – must be able to troubleshoot and train. * Office management – ability to multi-task. * Ability to learn and master computer systems used in daily business, scheduling and document management. * Critical Thinking Skills. * Compliance – detail oriented.  Base Pay :  $50,000 - 65,000/Year commensurate with background and experience Other Pay :  Incentive Bonuses Employee Type :  Full-Time  Industry:  Healthcare - Health Services Manages Others :  Yes Education :  4 Year Degree preferred Experience :  At least 5 year(s)","['leadership', 'leader', 'responsible', 'competitive', 'scheduling', 'management', 'operations', 'professional', 'customer service', 'communication skills', 'team member', 'computer skills', 'critical thinking', 'verbal communication skills', 'critical thinking skills']","['supervisory', 'home care', 'federal laws', 'administrative agencies', 'microsoft office', 'office management', 'computer systems']",['rules'],
"The SOUTH SHORE SAVINGS BANK has an opportunity for a full time Customer Service Representative.  In this position you will assist customers with new account services including processing transactions and actively cross selling all Bank products.  The successful candidate will have excellent customer service skills and proven sales and leadership skills.  Strong knowledge of all banking products is necessary to enable the Bank to meet and exceed establlished sales goals.  In this position, you will assist with branch supervisory functions including branch settlement, teller balancing, ATM settlement and allowing customers access to safe deposit boxes, following specified procedures.  The successful candidate will float between float between markets in the Weymouth and Quincy Area.  An Associates's Degree or equivalent from a two-year college; or six months to one year of related experience and/or training is required or equivalent combination of education and experience.  Previous supervisory experience is preferred.  Please visit our webite at www.example.com under careers and complete an online application.","['sales', 'leadership', 'customer service', 'leadership skills']","['processing', 'supervisory', 'settlement']",,
"Kappa Search Inc. is currently working with an OEM of high precision CNC machine tools. We are searching for a CNC Field Service Engineer as follows:  *Summary*  This CNC Field Service Engineer will be responsible for providing on site CNC machine tool maintenance, service and repair to the company's clients. The CNC Field Service Engineer is also the front line of customer service, interacting directly with critical clients on a daily basis to ensure that their needs are being met.   This global company has been in the CNC machine tool business for over 100 years and is a globally recognized market leader in the manufacturing of gear making technology. They have recently developed new technology that has the promise to change the automotive and off-road gear and drive train manufacturing process in the near future.  *Main responsibilities:*  • The CNC Field Service Engineer will travel to client facilities and provide mechanical, electrical and hydraulic service, maintenance and repair services for CNC machine tools • Communicate clearly with customers to identify machine issues and prioritize repair efforts • Assist project managers with installation and implementation of new CNC machine tools • Provide assistance and training to on-site maintenance staff that are employed by client companies • Track and file client call log reports and accurately detail all expenses  *Requirements:*  • The CNC Field Service engineer must have at least 2 years previous experience providing mechanical and electrical service for CNC machine tools such as lathes, turning, milling, machining centers, grinders, routers • Willingness to travel nationally up to 100% of the time Monday thru Friday, home on the weekends • Ability to work independently and provide exceptional customer support • Great attitude and desire to learn new technology","['responsible', 'leader', 'installation', 'customer service']",['customer support'],"['lathes', 'grinders', 'routers']",['mechanical']
"Note: Job does not cover relocation and is a temporary position.  Engineering company is looking for a temporary 3D Mechanical/Piping Designer. 3-7+ years of piping design experience supporting power plant & other heavy industrial plant projects (process, chemical, cement, pulp & paper, etc..) is required.    Responsibilities      *Perform pipe sizing calculations and design piping layouts for chemical process plants     *Build fully detailed 3D models of piping system, process components and related equipment based on engineering data, component catalogues and engineering specifications     *From the 3D piping models generate the piping general arrangement drawings, isometric drawings, and associated bill of materials used for project cost estimation and issue for construction.     *Generate 2D & 3D mechanical part drawings and isometrics used for project cost estimation and issue for construction     *Supports all layout, design audit, tendering preparation, design execution, design review and site support activities as assigned.  Requirements      *3-7+ years of experience as a Mechanical or Piping Designer working with CAD based mechanical design & piping design packages.     *Experience Modeling and creating production drawings using commercial CAD programs such as AutoCAD, Solid Works or Catia.     *Some experience with 3D pipe modeling software.     *Demonstrated knowledge of basic drafting and manufacturing processes/principles     Working knowledge of ASME Codes     *An AS Degree in Mechanical Design is helpful but not required",['construction'],"['calculations', 'catalogues', 'autocad', 'chemical process', 'cost estimation', 'design review', 'modeling software', 'manufacturing processes']",,"['mechanical', 'design']"
"*Part time Position/Job Summary*  Adagio Spa (www.example.com) is searching for an eager team player with a genuine concern for the improvement of health through quiet mediation and mediative modalities. The Office Team Member will provide secretarial and client support for spa and alternative health providers.  -Responsibilities to include but not limited to:  1. While maintaining strict confidentiality, the office team member will manage and insure calendars are up to date by scheduling new, recurring, and follow up patient appointments as directed.  2. Clean and prepare treatment rooms for clients  3. Collect payment for services provided  4. Return email and phone messages in a professional and prompt manner.  5. Able to complete off site marketing to local businesses to promote Adagio Spa  -Position/Job Qualifications:  Minimum requirements  - High school diploma with a minimum of three years previous office experience or the equivalent combination of education and experience  \\*Bachelor or Associate degree preferred  Experience with MS Word and MS Excel Experience with MindBody Software a PLUS Working knowledge of medical terminology Excellent attention to detail Strong organizational, interpersonal, verbal, and written communication skills Ability to prioritize projects and to multi-task is required. Instructions for submitting your application:  Interested applicants should fax cover letter and resume to the attention of Don Gentry at  XXX  In addition, please have 3 professional references available upon request. Screening of applicants will begin immediately.","['patient', 'professional', 'prompt', 'manner', 'organizational', 'team player', 'team member']","['mediation', 'mindbody', 'medical terminology']",['calendars'],
"Metalskills,  Your Skilled Service Provider is seeking a CAD Designer in the Greenville SC area.  1st shift 40k – 42k DOE  5+ years experience required.  A company in Greenville looking for a CAD Designer with experience in Solidworks and sheet metal layout.   All applicants must be able to pass a drug screening and background check. No larceny, No violent crimes and no recent felonies.  Interested applicants, please reply to this posting and attach your resume in .DOC format or fax to  XXX  Attn: Mandy Pace. If you have any questions, please contact Mandy at  XXX , Option 1, Ext. 2.   Metalskills is an Equal Opportunity Employer.",,"['metal', 'service provider', 'sheet metal']",,
"Description:  Serves the public and promotes good customer relations.  Sells products and services to meet the Bank's objectives and provides all types of customer service in conformance with established Bank policies and procedures.  Acts as the branch 3rd person.  Assists and provides backup to Branch Manager and Assistant Branch Manager. Supervises and schedules the daily activities of the Branch as needed.  Assists tellers with customer transactions; assists in the training and development of new staff; introduces and orents the staff to new products, services, procedures, etc. May open and/or close the Branch as needed or scheduled.  Identifies and actively follows up on customer sales opportunities in line with established targets. Candidates must be friendly, energetic, outgoing and willing to sell our products and services to prospective as well as current customers; must be willing to work extended and weekend hours.    Position Requirements:  High School Diploma or equivalent with at least one year experience as a teller/financial services representative with demonstrated supervisory ability.  Strong organizational, communication, customer service and interpersonal skills are required. Must be willin to work extended or weekend hours.  Must be willing to attend training as necessary.    Benefits:  Full Time Benefits include Health, Dental, Vision, 401K, EAP, Incentive Plan, etc.    Salary is based on experience.    If you are interested in learning more about Southbridge Savings Bank employment opportunities, please visit www.example.com.    Southbridge Savings Bank is an Equal Employment Opportunity/Affirmative Action Employer and a drug-free company. Pre-employment drug tests are required.","['sales', 'energetic', 'outgoing', 'organizational', 'affirmative', 'customer service', 'interpersonal skills']","['supervisory', 'financial services']",,
"Responsibilities/Duties:  Materials Requirement Planning for all assigned purchased commodities and/or components.  Complete periodic reporting including, but not limited to: inventory review, price variance, PO purge process, purchase trending, partner data sharing and supplier scorecard data.  Disposition and coordinate nonconforming material reports for purchased component material.  May be required to complete and manage daily expedites for all purchased components, raw material, outside processing and remanufacturing orders.  Support elevated shortage or expedite requests.  Manage Engineering Revision Notice for all purchased component material.   Participate in the engineering project support as assigned.   Manage assigned supplier agreements.  Participate in the supplier assessment process.   Manage supplier relationships for all purchased components.  Participate in the supplier review process.   May be required to manage the ISO documents, training and internal and external audits.   Other duties as assigned.    Necessary Skills and Qualifications:  Four year degree in supply chain management or similar business discipline or equivalent working experience in the discipline.   Experience in Purchasing Functional position; Senior Buyer required 3-5 years.  Senior Buyer: Proven supplier, project and inventory management skills.  Proficient in Microsoft applications.     Graham-White offers excellent wages, benefits and working environment.    Equal Opportunity Employer","['management', 'discipline', 'management skills']","['processing', 'remanufacturing', 'chain', 'supply chain', 'position senior', 'inventory management', 'supply chain management']",,
"Valdantis, Inc is growing and hiring individuals to be trained for upcoming management roles.   Valdantis Inc, is an outsourced marketing and sales firm for larger corporations.  We are hired by national business service corporations to provide sales and marketing of their services.  Essentially, instead of forming an internal sales and marketing department, they hire Valdantis, Inc to gain and retain their accounts. We deal with clients on a one on one basis and provide the clients' services by tailoring them directly to each individual needs.   We currently have a waiting list of clients.  We are going to be filling management roles within the year.  Since we only promote from within, all individuals are hired and trained from the ground up.   What we are looking for now:  Valdantis, Inc. is looking for career-minded individuals who are in search of a fun yet professional environment with rapid advancement.  We cross-train candidates in areas of: sales, marketing, mentoring, entrepreneurship, and leadership. This cross-training allows candidates to advance within the company to a senior role within a year.  Pay based on performance. Only Full Time Positions available. Strong confidence is a must.  Job Description:      Account Management     Client Retention and Acquisition     Customer Account Negotiation    Training Is Provided In The Areas of:      Human Resources     Account Management     Sales     Marketing     Leadership   Benefits:      On the job training     Travel Opportunity     Growth Opportunity     No Seniority   Take a look at our website: Valdantisinc.com ","['management', 'sales', 'professional', 'leadership', 'negotiation']","['rapid', 'entrepreneurship', 'account management', 'negotiation training']",,
