,0
0,abducting
1,abiding
2,abolishing
3,absconding
4,abusing
5,accelerating
6,accepting
7,accommodating
8,accomplishing
9,accumulating
10,accusing
11,achieving
12,acquiring
13,acting
14,activating
15,adapting
16,adding
17,addressing
18,adjusting
19,administering
20,admiring
21,admitting
22,adopting
23,advancing
24,advertising
25,advising
26,advocating
27,affording
28,agreeing
29,aiding
30,aiding
31,aiming
32,alerting
33,alighting
34,aligning
35,allocating
36,allowing
37,altering
38,amending
39,amusing
40,analyzing
41,announcing
42,annoying
43,answering
44,anticipating
45,apologizing
46,appearing
47,applauding
48,applying
49,appointing
50,appraising
51,appreciating
52,apprehending
53,approaching
54,appropriating
55,approving
56,arbitrating
57,arguing
58,arising
59,arranging
60,arresting
61,arriving
62,articulating
63,ascertaining
64,asking
65,assaulting
66,assembling
67,assessing
68,assigning
69,assisting
70,assuming
71,assuring
72,attaching
73,attacking
74,attaining
75,attempting
76,attending
77,attracting
78,auditing
79,augmenting
80,authorring
81,authorizing
82,automating
83,averting
84,avoiding
85,awaking
86,awarding
87,backing
88,baking
89,balancing
90,banning
91,banging
92,barring
93,baring
94,bargaining
95,batting
96,bathing
97,battling
98,being
99,beaming
100,bearing
101,beating
102,becoming
103,begging
104,beginning
105,behaving
106,beholding
107,belonging
108,bending
109,berating
110,besetting
111,betting
112,bidding
113,binding
114,biting
115,blasting
116,bleaching
117,bleeding
118,blessing
119,blinding
120,blinking
121,blocking
122,blotting
123,blowing
124,blushing
125,boasting
126,boiling
127,bolstering
128,bolting
129,bombing
130,booking
131,boosting
132,boring
133,borrowing
134,buying
135,bouncing
136,bowing
137,boxing
138,braking
139,branching
140,breaking
141,breathing
142,breeding
143,briefing
144,brightening
145,bringing
146,broadcasting
147,broadening
148,breaking
149,bruising
150,brushing
151,bubbling
152,bucking
153,budgeting
154,building
155,building
156,bumping
157,burning
158,bursting
159,burying
160,bushwhacking
161,busting
162,buying
163,buzzing
164,calculating
165,calibrating
166,calling
167,camping
168,canvassing
169,capturing
170,caring
171,carrying
172,carving
173,casting
174,catalogging
175,cataloguing
176,catching
177,categorizing
178,catering
179,centralizing
180,chairing
181,challenging
182,changing
183,charging
184,charting
185,chasing
186,cheating
187,checking
188,cheering
189,chewing
190,choking
191,choosing
192,chopping
193,claiming
194,clapping
195,clarifying
196,clashing
197,classifying
198,cleaning
199,clearing
200,climbing
201,clinging
202,clipping
203,closing
204,clothing
205,clutching
206,coaching
207,coding
208,coiling
209,collaborating
210,collapsing
211,collaring
212,collating
213,collecting
214,colliding
215,colorring
216,combing
217,combining
218,coming
219,comforting
220,commanding
221,commandeering
222,commencing
223,communicating
224,comparing
225,competing
226,compiling
227,complaining
228,completing
229,composing
230,computing
231,conceiving
232,concentrating
233,conceptualizing
234,concerning
235,conciliating
236,concluding
237,condensing
238,conducting
239,conferring
240,confessing
241,confirming
242,confronting
243,confusing
244,connecting
245,conserving
246,considering
247,consisting
248,consolidating
249,constructing
250,consulting
251,contacting
252,containing
253,continuing
254,contracting
255,contributing
256,controlling
257,converting
258,conveying
259,convincing
