_id,language
614db222cf9db0a88ed739a2,Chhattisgarhi
614db222cf9db0a88ed73981,Bhojpuri
614db222cf9db0a88ed73970,Cantonese
614db222cf9db0a88ed73997,Chittagonian
614db222cf9db0a88ed739a3,Greek
614db222cf9db0a88ed7395a,Mandarin Chinese
614db222cf9db0a88ed73989,Romanian
614db222cf9db0a88ed73998,Zhuang
614db222cf9db0a88ed739ac,Kinyarwanda
614db222cf9db0a88ed7396c,Tamil
614db222cf9db0a88ed739a4,Chewa
614db222cf9db0a88ed739ba,Belorussian
614db222cf9db0a88ed73993,Malagasy
614db222cf9db0a88ed73966,Malay
614db222cf9db0a88ed739b6,Uighur
614db222cf9db0a88ed73963,German
614db222cf9db0a88ed7397c,Hausa
614db222cf9db0a88ed7395d,Hindi
614db222cf9db0a88ed7397a,Malayalam
614db222cf9db0a88ed73994,Saraiki
614db222cf9db0a88ed739b3,Swedish
614db222cf9db0a88ed7396e,Turkish
614db222cf9db0a88ed73965,Wu Chinese
614db222cf9db0a88ed739bd,Bengali
614db222cf9db0a88ed739a6,Akan
614db222cf9db0a88ed739bc,Baluchi
614db222cf9db0a88ed739af,Eastern Min Chinese
614db222cf9db0a88ed7397e,Burmese
614db222cf9db0a88ed7395e,Arabic
614db222cf9db0a88ed7398f,Cebuano
614db222cf9db0a88ed73978,Kannada
614db222cf9db0a88ed73991,Kurdish
614db222cf9db0a88ed739b9,Xhosa
614db222cf9db0a88ed739aa,Zulu
614db222cf9db0a88ed7398d,Awadhi
614db222cf9db0a88ed7398c,Azeri
614db222cf9db0a88ed73988,Fulani
614db222cf9db0a88ed739b7,Hiligaynon
614db222cf9db0a88ed739b5,Shona
614db222cf9db0a88ed73996,Singhalese
614db222cf9db0a88ed7396f,Italian
614db222cf9db0a88ed73961,Japanese
614db222cf9db0a88ed73986,Sindhi
614db222cf9db0a88ed7395c,English
614db222cf9db0a88ed739b4,Hmong
614db222cf9db0a88ed73999,Khmer
614db222cf9db0a88ed7398a,Oromo
614db222cf9db0a88ed7399d,Somali
614db222cf9db0a88ed73973,Min Nan Chinese
614db222cf9db0a88ed73975,Persian
614db222cf9db0a88ed73960,Russian
614db222cf9db0a88ed7397b,Sundanese
614db222cf9db0a88ed739ad,Dhundhari
614db222cf9db0a88ed739a0,Haryanvi
614db222cf9db0a88ed739b8,Mossi
614db222cf9db0a88ed739a9,Sylheti
614db222cf9db0a88ed7396d,Urdu
614db222cf9db0a88ed73979,Xiang Chinese
614db222cf9db0a88ed7398b,Igbo
614db222cf9db0a88ed73995,Nepali
614db222cf9db0a88ed73980,Ukrainian
614db222cf9db0a88ed739ab,Czech
614db222cf9db0a88ed739ae,Haitian Creole
614db222cf9db0a88ed73984,Maithili
614db222cf9db0a88ed739a8,Northern Min Chinese
614db222cf9db0a88ed73985,Uzbek
614db222cf9db0a88ed73987,Amharic
614db222cf9db0a88ed7398e,Gan Chinese
614db222cf9db0a88ed73969,Korean
614db222cf9db0a88ed7399c,Madurese
614db222cf9db0a88ed7399e,Marwari
614db222cf9db0a88ed7397d,Odia
614db222cf9db0a88ed73976,Polish
614db222cf9db0a88ed73968,Vietnamese
614db222cf9db0a88ed73990,Dutch
614db222cf9db0a88ed73964,Javanese
614db222cf9db0a88ed73974,Jin Chinese
614db222cf9db0a88ed7396b,Marathi
614db222cf9db0a88ed73977,Pashto
614db222cf9db0a88ed7395f,Portuguese
614db222cf9db0a88ed739b1,Quechua
614db222cf9db0a88ed73971,Thai
614db222cf9db0a88ed7399a,Turkmen
614db222cf9db0a88ed7399b,Assamese
614db222cf9db0a88ed739a5,Dekhini
614db222cf9db0a88ed73972,Gujarati
614db222cf9db0a88ed7397f,Hakka Chinese
614db222cf9db0a88ed739a1,Hungarian
614db222cf9db0a88ed739b0,Ilocano
614db222cf9db0a88ed739a7,Kazakh
614db222cf9db0a88ed739b2,Kirundi
614db222cf9db0a88ed73962,Punjabi
614db222cf9db0a88ed73992,Serbo-Croatian
614db222cf9db0a88ed73967,Telugu
614db222cf9db0a88ed7396a,French
614db222cf9db0a88ed739bb,Konkani
614db222cf9db0a88ed7399f,Magahi
614db222cf9db0a88ed7395b,Spanish
614db222cf9db0a88ed73982,Tagalog
614db222cf9db0a88ed73983,Yoruba
