,name
0,ability to meet deadlines
1,accountability
2,achievement driven
3,achievement oriented
4,action oriented
5,active learning
6,active listening
7,adaptability
8,adaptive leadership
9,addressing ethical concerns
10,administrative skills
11,advocacy
12,agenda (meeting)
13,articulation
14,boundless energy
15,brainstorming
16,business acumen
17,business administration
18,business ethics
19,business proposals
20,calipers
21,calmness under pressure
22,caring nature
23,challenge driven
24,change agility
25,cognitive flexibility
26,collaboration
27,collaborative learning
28,communication with candidates
29,communications
30,compassion
31,composure
32,conciliation
33,concision
34,confident communicator
35,cooperation
36,cooperative learning
37,coordinating
38,creative problem-solving
39,creative questioning
40,creative thinking
41,creativity
42,critical reflection
43,critical thinking
44,cultural responsiveness
45,cultural sensitivity
46,curiosity
47,dealing with ambiguity
48,decision making
49,decisiveness
50,delegation skills
51,delivery focused
52,detail oriented
53,diagnostic skills
54,diplomacy
55,discussion facilitation
56,distributed team management
57,diversity awareness
58,driven personality
59,dynamic communicator
60,dynamic personality
61,educational leadership
62,effective coach
63,email etiquette
64,emotional stamina
65,emotionally stable
66,empathy
67,energetic
68,engagement skills
69,enthusiasm
70,establishing trust
71,ethical conduct
72,ethical principles
73,ethical responsibility
74,evaluating staff
75,extroverted
76,eye contact
77,friendliness
78,global career development facilitator
79,goal oriented
80,goal setting
81,governance
82,handling confrontation
83,hospitality
84,humility
85,ideation
86,imagination
87,improvisation
88,inductive reasoning
89,influencing skills
90,information gathering
91,information literacy
92,ingenuity
93,innovation
94,inspiring trust
95,instructing
96,integration
97,intellectual curiosity
98,interpersonal communications
99,lateral communication
100,lateral thinking
101,leadership
102,leadership development
103,learning agility
104,learning strategies
105,level headed
106,lifelong learning
107,listening skills
108,literacy
109,management
110,mental agility
111,mental concentration
112,mental stamina
113,mentorship
114,moral reasoning
115,motivational skills
116,multilingualism
117,negotiation
118,non-verbal communication
119,operations
120,optimism
121,organizational awareness
122,organizational skills
123,parent communication
124,patience
125,people management
126,persistence
127,personal integrity
128,persuasive communication
129,planning
130,politeness
131,positive mental attitude
132,positive reinforcement
133,preparedness
134,prioritization
135,proactivity
136,problem solving
137,professional networking
138,professionalism
139,public speaking
140,punctuality
141,quality assurance
142,quality driven
143,questioning skills
144,quick learning
145,rapport building
146,reading comprehension
147,recall (memory)
148,receptive and expressive language
149,recognizing strengths
150,relationship management
151,reliability
152,requirement prioritization
153,reservations
154,resilience
155,resourcefulness
156,results focused
157,retail sales
158,sales
159,self confident
160,self evaluation
161,self starter
162,self-awareness
163,self-control
164,self-discipline
165,self-motivation
166,self-sufficiency
167,service-orientation
168,sign languages
169,sincerity
170,social intelligence
171,social perceptiveness
172,social skills
173,socialization
174,solutions focused
175,spatial abilities
176,strategic thinking
177,stress management
178,studious
179,success driven
180,support colleagues
181,tactfulness
182,target orientated
183,task planning
184,team building
185,team effectiveness
186,team leadership
187,team management
188,team motivation
189,team oriented
190,team performance management
191,teamwork
192,technical acumen
193,technical curiosity
194,telephone skills
195,tenacity
196,time constraints
197,time management
198,training and development
199,transcribing
200,troubleshooting
201,trustworthiness
202,truthful
203,verbal communication skills
204,visionary
205,willingness to learn
206,wireless communications
207,working quickly
208,written communication
209,written english
210,commitment
211,honesty
212,confidence
213,respect
214,dependability
215,conflict resolution
216,open-mindedness
217,consistency
218,integrity
219,problem-solving
220,strong work ethic
221,loyalty
222,responsibility
223,communication skills
224,strong execution
